elevation_m,area_dam2,capacity_dam3
626.324,77.3,1.81
626.325,77.6,1.82
626.326,77.9,1.82
626.327,78.2,1.83
626.328,78.5,1.84
626.329,78.8,1.85
626.33,79,1.85
626.331,79.3,1.86
626.332,79.6,1.87
626.333,79.9,1.87
626.334,80.2,1.88
626.335,80.5,1.89
626.336,80.8,1.9
626.337,81.1,1.9
626.338,81.4,1.91
626.339,81.7,1.92
626.34,82,1.93
626.341,82.3,1.93
626.342,82.6,1.94
626.343,82.9,1.95
626.344,83.1,1.95
626.345,83.4,1.96
626.346,83.7,1.97
626.347,84,1.98
626.348,84.3,1.98
626.349,84.6,1.99
626.35,84.9,2
626.351,85.2,2.01
626.352,85.5,2.01
626.353,85.8,2.02
626.354,86.1,2.03
626.355,86.4,2.03
626.356,86.7,2.04
626.357,87,2.05
626.358,87.2,2.06
626.359,87.5,2.06
626.36,87.8,2.07
626.361,88.1,2.08
626.362,88.4,2.09
626.363,88.7,2.09
626.364,89,2.1
626.365,89.5,2.12
626.366,89.9,2.13
626.367,90.4,2.15
626.368,90.8,2.16
626.369,91.3,2.18
626.37,91.7,2.19
626.371,92.2,2.21
626.372,92.6,2.23
626.373,93.1,2.24
626.374,93.5,2.26
626.375,94,2.27
626.376,94.4,2.29
626.377,94.9,2.31
626.378,95.3,2.32
626.379,95.8,2.34
626.38,96.2,2.35
626.381,96.7,2.37
626.382,97.1,2.38
626.383,97.6,2.4
626.384,98,2.42
626.385,98.5,2.43
626.386,99,2.45
626.387,99.4,2.46
626.388,99.9,2.48
626.389,100,2.49
626.39,101,2.51
626.391,101,2.53
626.392,102,2.54
626.393,102,2.56
626.394,103,2.57
626.395,103,2.59
626.396,103,2.6
626.397,104,2.62
626.398,104,2.64
626.399,105,2.65
626.4,105,2.67
626.401,106,2.68
626.402,106,2.7
626.403,107,2.72
626.404,107,2.73
626.405,108,2.75
626.406,108,2.76
626.407,108,2.78
626.408,109,2.79
626.409,109,2.81
626.41,110,2.83
626.411,110,2.84
626.412,111,2.86
626.413,111,2.87
626.414,112,2.89
626.415,112,2.9
626.416,113,2.92
626.417,113,2.94
626.418,113,2.95
626.419,114,2.97
626.42,114,2.98
626.421,115,3
626.422,115,3.01
626.423,116,3.03
626.424,116,3.05
626.425,117,3.06
626.426,117,3.08
626.427,118,3.09
626.428,118,3.11
626.429,118,3.13
626.43,119,3.14
626.431,119,3.16
626.432,120,3.17
626.433,120,3.19
626.434,121,3.2
626.435,121,3.22
626.436,122,3.24
626.437,122,3.25
626.438,122,3.27
626.439,123,3.28
626.44,123,3.3
626.441,124,3.31
626.442,124,3.33
626.443,125,3.35
626.444,125,3.36
626.445,126,3.38
626.446,126,3.39
626.447,127,3.41
626.448,127,3.42
626.449,127,3.44
626.45,128,3.46
626.451,128,3.47
626.452,129,3.49
626.453,129,3.5
626.454,130,3.52
626.455,130,3.54
626.456,131,3.55
626.457,131,3.57
626.458,132,3.58
626.459,132,3.6
626.46,132,3.61
626.461,133,3.63
626.462,133,3.65
626.463,134,3.66
626.464,134,3.68
626.465,135,3.69
626.466,135,3.71
626.467,136,3.72
626.468,136,3.74
626.469,137,3.76
626.47,137,3.77
626.471,137,3.79
626.472,138,3.8
626.473,138,3.82
626.474,139,3.83
626.475,139,3.85
626.476,140,3.87
626.477,140,3.88
626.478,141,3.9
626.479,141,3.91
626.48,141,3.93
626.481,142,3.95
626.482,142,3.96
626.483,143,3.98
626.484,143,3.99
626.485,144,4.01
626.486,144,4.02
626.487,145,4.04
626.488,145,4.06
626.489,146,4.07
626.49,146,4.09
626.491,146,4.1
626.492,147,4.12
626.493,147,4.13
626.494,148,4.15
626.495,148,4.17
626.496,149,4.18
626.497,149,4.2
626.498,150,4.21
626.499,150,4.23
626.5,151,4.24
626.501,151,4.26
626.502,151,4.28
626.503,152,4.29
626.504,152,4.31
626.505,153,4.32
626.506,153,4.34
626.507,154,4.36
626.508,154,4.37
626.509,155,4.39
626.51,155,4.4
626.511,156,4.42
626.512,156,4.43
626.513,156,4.45
626.514,157,4.47
626.515,157,4.48
626.516,158,4.5
626.517,158,4.51
626.518,159,4.53
626.519,159,4.54
626.52,160,4.56
626.521,160,4.58
626.522,160,4.59
626.523,161,4.61
626.524,161,4.62
626.525,162,4.64
626.526,162,4.65
626.527,163,4.67
626.528,163,4.69
626.529,164,4.7
626.53,164,4.72
626.531,165,4.73
626.532,165,4.75
626.533,165,4.77
626.534,166,4.78
626.535,166,4.8
626.536,167,4.81
626.537,167,4.83
626.538,168,4.84
626.539,168,4.86
626.54,169,4.88
626.541,169,4.89
626.542,170,4.91
626.543,170,4.92
626.544,170,4.94
626.545,171,4.95
626.546,171,4.97
626.547,172,4.99
626.548,172,5
626.549,173,5.02
626.55,173,5.03
626.551,174,5.05
626.552,174,5.06
626.553,175,5.08
626.554,175,5.1
626.555,175,5.11
626.556,176,5.13
626.557,176,5.14
626.558,177,5.16
626.559,177,5.18
626.56,178,5.19
626.561,178,5.21
626.562,179,5.22
626.563,179,5.24
626.564,179,5.25
626.565,180,5.27
626.566,180,5.29
626.567,181,5.3
626.568,181,5.32
626.569,182,5.33
626.57,182,5.35
626.571,183,5.36
626.572,183,5.38
626.573,184,5.4
626.574,184,5.41
626.575,184,5.43
626.576,185,5.44
626.577,185,5.46
626.578,186,5.47
626.579,186,5.49
626.58,187,5.51
626.581,187,5.52
626.582,188,5.54
626.583,188,5.55
626.584,189,5.57
626.585,189,5.59
626.586,189,5.6
626.587,190,5.62
626.588,190,5.63
626.589,191,5.65
626.59,191,5.66
626.591,192,5.68
626.592,192,5.7
626.593,193,5.71
626.594,193,5.73
626.595,194,5.74
626.596,194,5.76
626.597,194,5.77
626.598,195,5.79
626.599,195,5.81
626.6,196,5.82
626.601,196,5.84
626.602,197,5.85
626.603,197,5.87
626.604,198,5.88
626.605,198,5.9
626.606,198,5.92
626.607,199,5.93
626.608,199,5.95
626.609,200,5.96
626.61,200,5.98
626.611,201,6
626.612,201,6.01
626.613,202,6.03
